domain,tranco_rank,category,theme,ip,server_header,primary_contact_email,all_emails,phones,socials,addresses,pages_checked,fetched_at
hevoifm.co.zw,,news,,129.232.213.113,Apache,works@hevoifm.co.zw,works@hevoifm.co.zw; Works@hevoifm.co.zw,+263775136973; +263784635426; +263 71 306 0600,https://www.facebook.com/hevoifm/; https://twitter.com/hevoifm?lang=en; https://www.instagram.com/hevoifm/?hl=en; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fhevoifm.co.zw%2Fabout%2F; https://twitter.com/intent/tweet?text=About&url=https%3A%2F%2Fhevoifm.co.zw%2Fabout%2F; https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Fhevoifm.co.zw%2Fabout%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fhevoifm.co.zw%2Fcontact%2F; https://twitter.com/intent/tweet?text=Contact&url=https%3A%2F%2Fhevoifm.co.zw%2Fcontact%2F; https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Fhevoifm.co.zw%2Fcontact%2F,,"/,/about/,/contact",2026-05-04T21:08:46.296456+00:00
grandfireservices.co.zw,,business,,209.42.24.160,LiteSpeed,info@grandfireservices.co.zw,info@grandfireservices.co.zw,+263 774 104 012; +263 719 104 012; +2638644281591,,,"/,/about-us/,/contact-us/",2026-05-04T21:08:46.296496+00:00
imbahub.co.zw,,ngo,hello-elementor-child,198.38.90.50,LiteSpeed,info@imbahub.co.zw,info@imbahub.co.zw,+263 781 500 163; +263 714 593 356; +263 714 593 345,https://www.facebook.com/profile.php?id=61580339686534; https://www.linkedin.com/company/imbahub/; https://x.com/Imbahubzw,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.296559+00:00
gbg.co.zw,,blog,,173.254.56.38,nginx/1.27.2,,,,,,,2026-05-04T21:08:46.296636+00:00
gowildtours.co.zw,,business,,173.252.167.120,,,,,,,,2026-05-04T21:08:46.296714+00:00
kcphotography.co.zw,,business,newton,87.117.234.111,Apache,kate@kcphotography.co.zw,kate@kcphotography.co.zw,+263 772 209 980,https://www.facebook.com/sharer/sharer.php?u=https://kcphotography.co.zw/; https://twitter.com/intent/tweet?original_referer=https://kcphotography.co.zw/&url=https://kcphotography.co.zw/; http://twitter.com/#; http://instagram.com/#; https://www.facebook.com/sharer/sharer.php?u=https://kcphotography.co.zw/about-me/; https://twitter.com/intent/tweet?original_referer=https://kcphotography.co.zw/about-me/&url=https://kcphotography.co.zw/about-me/; https://www.facebook.com/sharer/sharer.php?u=https://kcphotography.co.zw/contact-1/; https://twitter.com/intent/tweet?original_referer=https://kcphotography.co.zw/contact-1/&url=https://kcphotography.co.zw/contact-1/,,"/,/about/,/contact",2026-05-04T21:08:46.296840+00:00
gmc.org.zw,,ngo,,65.60.39.46,,,,,https://www.facebook.com/GMCZIMBABWE; https://twitter.com/GMCZimbabwe; https://www.instagram.com/gmczimbabwe/; https://www.linkedin.com/in/gmczimbabwe/,,/about-us/,2026-05-04T21:08:46.296912+00:00
ihrm.co.zw,,education,astra,185.146.22.254,LiteSpeed,admin@ihrm.co.zw,admin@cipmz.co.zw; admin@hrm.co.zw; admin@ihrm.co.zw,+263 242 443 124; +263 772 469 893; +263 77 267 5810,https://www.facebook.com/ihrmzimbabwe; https://www.linkedin.com/in/IHRMZ/,,"/,/about/,/contact",2026-05-04T21:08:46.296988+00:00
ioez.co.zw,,ngo,,192.250.239.56,LiteSpeed,admin@ioez.co.zw,info@ioez.co.zw; admin@ioez.co.zw,+263 242 702897; +263 732 38 39 40,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.297068+00:00
hakagamepark.co.zw,,business,,198.175.150.250,LiteSpeed,admin@hakagamepark.co.zw,admin@hakagamepark.co.zw,+263773343310,https://www.facebook.com/share/1C5wAa3rBE/,,"/about/,/",2026-05-04T21:08:46.297099+00:00
greentecenergy.co.zw,,business,,129.232.213.100,Apache,,,,,,,2026-05-04T21:08:46.297159+00:00
jobsportal.co.zw,,business,,172.96.161.16,Apache,learn@openclass.co.zw,learn@openclass.co.zw,,https://www.facebook.com/groups/846304606191536; https://www.linkedin.com/groups/9876043/; https://www.facebook.com/groups/zimboardingschoolsinfo/; https://www.facebook.com/groups/zimboardingschoolsinfo,,/,2026-05-04T21:08:46.297219+00:00
jrm.org.zw,,religious,,72.52.228.2,Apache,counselling@jrm.org.zw,counselling@jrm.org.zw,+263 77 981 7515; +263 71 250 0855; +263 77 198 7322,https://twitter.com/tf_chiwenga?t=Y_nQz4tI0rNfOlsynjGY6w&s=08; https://www.facebook.com/www.jrm.org.zw,,"/,/contacts",2026-05-04T21:08:46.297239+00:00
kumushasolar.co.zw,,business,,209.42.24.160,LiteSpeed,info@example.com,info@example.com; sales@frecon.co.zw,077 450 6666,,,/,2026-05-04T21:08:46.297289+00:00
genixsolutions.co.zw,,business,,192.138.189.196,LiteSpeed,support@genixsolutions.co.zw,sales@genixsolutions.co.zw; support@genixsolutions.co.zw,+263-712-685-901; +263 780 764 534; +263 712 685 901,https://www.facebook.com/genixsolutionszim; https://twitter.com/genixsolutionZW; https://www.linkedin.com/company/genix-solutions/,,"/about-us/,/contact-us/",2026-05-04T21:08:46.297364+00:00
iceageenterprise.co.zw,,business,volport,41.85.192.2,Apache,,,,,,,2026-05-04T21:08:46.297384+00:00
gillfunsteel.co.zw,,business,,50.6.168.183,Apache,,,,,,,2026-05-04T21:08:46.297444+00:00
ict.gzu.ac.zw,,education,,196.43.101.214,Apache,,,,,,,2026-05-04T21:08:46.297586+00:00
jnsss.gzu.ac.zw,,education,,196.43.101.214,Apache,jmushangwe@gzu.ac.zw,jmushangwe@gzu.ac.zw; hzirima@gzu.ac.zw; msibanda@gzu.ac.zw; info@gzu.ac.zw; jnsss@gzu.ac.zw,039 266 427; +263775371313; +263772284644,https://www.facebook.com/profile.php?id=100067718961478; https://x.com/GreatZimUni; https://www.linkedin.com/school/great-zimbabwe-university,,"/,/about/,/contact",2026-05-04T21:08:46.297667+00:00
kundahost.co.zw,,business,themify-ultra,108.160.156.8,LiteSpeed,,,+263772118491; +2638677005083,https://www.facebook.com/kundahost; https://www.x.com/kundahost; https://www.instagram.com/kundahost,,"/,/about/,/contact",2026-05-04T21:08:46.297710+00:00
hardscrabble.co.zw,,other,,57.129.144.46,LiteSpeed,,,,,,"/about/,/,/about-us/",2026-05-04T21:08:46.297786+00:00
kitchenlink.co.zw,,ecommerce,oceanwp,63.250.38.231,LiteSpeed,,,0202 - 061501; 0542 - 222165,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.297886+00:00
jdeedesigns.co.zw,,business,,198.23.61.111,LiteSpeed,info@jdeedesigns.co.zw,info@jdeedesigns.co.zw,+263 785 702 411,https://www.facebook.com/jdeedesignssolution; https://www.instagram.com/jdee_designs,,"/,/jdeedesigns.co.zw/about-us/,/about-ceo/,/about/,/about-us/",2026-05-04T21:08:46.297947+00:00
high.abbeys.co.zw,,education,popularfx,156.38.193.83,Apache,,,,,,,2026-05-04T21:08:46.297961+00:00
goldenconifer.co.zw,,business,,184.154.215.138,,mailtofunctions@goldenconifer.co.zw,mailtofunctions@goldenconifer.co.zw,+263 4 336554; +263 772 519 880,https://www.facebook.com/GoldenConiferFunctionsVenue; https://www.instagram.com/goldenconifer.zw/?hl=en,,/,2026-05-04T21:08:46.298009+00:00
hartholdings.co.zw,,business,,103.138.189.55,LiteSpeed,info@hartholdings.co.zw,info@hartholdings.co.zw,+263 4 2933 771; 0775 058 150; 0719 058 150,,,"/about/,/,/contact-us/",2026-05-04T21:08:46.298121+00:00
jtpservices.co.zw,,business,,99.198.109.66,Apache,info@jtpservices.co.zw,info@jtpservices.co.zw,+263 773 212 690,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.298198+00:00
goldenpalm.co.zw,,ecommerce,astra,188.114.97.5,cloudflare,,,+263778453691; +263710389556; +2638688008350,https://www.facebook.com/profile.php?id=61561533335207; https://www.instagram.com/goldenpalm_zw/,,/,2026-05-04T21:08:46.298222+00:00
kingdomtyres.co.zw,,business,kingdom,194.110.243.35,,info@kingdomtyres.co.zw,info@kingdomtyres.co.zw,+263242752112; 0773412273; +263242748709,https://www.facebook.com/kingdomtyres/; https://twitter.com/TyresKingdom; https://instagram.com/kingdomtyres; https://www.facebook.com/; https://www.twitter.com/; https://www.instagram.com/,,/,2026-05-04T21:08:46.298320+00:00
lcn.co.zw,,business,,107.6.136.18,,info@lcn.co.zw,info@lcn.co.zw; simba@lcn.co.zw; aldridge@lcn.co.zw,+263 77 88 78 251,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.298374+00:00
larchezim.org.zw,,ngo,,129.232.213.100,Apache,larchezim@gmail.com,larchezim@gmail.com,+263786636700; +263777722391,https://twitter.com/larchezim/status/1909975063400423536?ref_src=twsrc%5Etfw; https://www.facebook.com/larchezimbabwe1; https://twitter.com/larchezim,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.298466+00:00
healthtimes.co.zw,,news,,192.250.239.56,LiteSpeed,,,,,,,2026-05-04T21:08:46.298494+00:00
idc.co.zw,,government,,198.54.115.181,Apache,,,+263 242 706 971-5,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.298511+00:00
kuchiva.co.zw,,ecommerce,,172.96.161.16,Apache,,,,https://facebook.com/kuchivazw; https://instagram.com/kuchivazw,,"/,/about/,/about-us/",2026-05-04T21:08:46.298560+00:00
goldenknot.co.zw,,business,Golden,66.235.200.146,cloudflare,,,+263 24 278 3278; +263 24 2783278,https://www.facebook.com/goldenknotfinancialholdings; https://twitter.com/goldenknotzim; https://www.instagram.com/goldenknotfinancialholdings/,,/,2026-05-04T21:08:46.298641+00:00
lanforce.co.zw,,business,,156.38.193.83,Apache,info@lanforce.co.zw,ethics@lanforce.co.zw; info@lanforce.co.zw,+263 242 721 102; +263 788 308 476; +263 788 259 699,,,"/,/about/,/contact",2026-05-04T21:08:46.298670+00:00
jobs.bambazonke.co.zw,,business,,87.117.234.111,Apache,employmentfmcg@gmail.com,employmentfmcg@gmail.com; rutendo@recruitmentmatters.co.zw; recruitmentposts7@gmail.com; info@iqconsult.pro; joinusnow2026@gmail.com,0781149013; 0773121279 16; 0783108915,https://www.instagram.com/bambajobs/; https://www.facebook.com/BambaJobs?mibextid=ZbWKwL,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.298714+00:00
kiamotors.co.zw,,business,cardealer-child,162.241.69.77,Apache,admin@kiamotors.co.zw,admin@kiamotors.co.zw; support@website.com,,https://www.facebook.com/kiamotorszimbabwe; https://twitter.com/kiamotorszim; https://www.instagram.com/kiamotorszimbabwe/,,"/,/contact",2026-05-04T21:08:46.298739+00:00
kiggen.co.zw,,business,Divi,144.208.108.189,Apache,builders@yoafrica.com,builders@yoafrica.com; kiggen@yoafrica.com,+263 9 280735; +263 9 285159; +263 772 406 473,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.298792+00:00
hilmax.co.zw,,other,,104.21.20.150,cloudflare,,,+263 8677 008643; +263 78 109 7389; +263 77 445 4715,https://www.facebook.com/bdthemes/; https://www.twitter.com/bdthemes/; https://www.instagram.com/bdthemes/,,"/,/about/,/contact-2/",2026-05-04T21:08:46.298815+00:00
kubotaengineering.co.zw,,business,rishi_1,104.21.66.228,cloudflare,,,,,,,2026-05-04T21:08:46.298916+00:00
lamcast.co.zw,,business,,172.93.106.10,LiteSpeed,sales@lamcast.co.zw,sales@lamcast.co.zw,+263772438129; +2638677008567; +2638772438129,https://www.facebook.com/pages/lamcast-refractories/115102645171103,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.298944+00:00
kilomarket.co.zw,,business,,165.140.70.189,LiteSpeed,sales@kilomarket.co.zw,info@company.co.zw; sales@kilomarket.co.zw,+263782684132,https://www.facebook.com/kilomarke; https://twitter.com/kilomarke; https://www.instagram.com/kilomarket.zw/,,"/,/about/,/contact",2026-05-04T21:08:46.298983+00:00
mabushavenue.co.zw,,blog,,57.129.144.46,LiteSpeed,mazo@mabushavenue.co.zw,mazo@mabushavenue.co.zw,+263784241203,https://www.facebook.com/mabushagardens; https://www.instagram.com/mabusha_gardens/,,"/,/about/",2026-05-04T21:08:46.299113+00:00
lookingfor.co.zw,,other,,65.181.116.95,LiteSpeed,,,,,,/,2026-05-04T21:08:46.299164+00:00
loveshouldnthurt.org.zw,,ngo,,185.146.22.248,LiteSpeed,,,,,,,2026-05-04T21:08:46.299245+00:00
ihs.co.zw,,business,Divi,57.129.144.46,LiteSpeed,sales@ihs.co.zw,sales@ihs.co.zw; byo@ihs.co.zw,+263 242 437 388; +263 242 437388; +263 292 2260545,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.299269+00:00
instacare.co.zw,,business,,209.42.24.161,LiteSpeed,instacarewp@gmail.com,instacarewp@gmail.com; instacareruwa@gmail.com,+263 77 272 3966; +263 77 692 2783; +263 78 882 7555,https://www.facebook.com/Instacaremed,,"/,/about/,/contact",2026-05-04T21:08:46.299380+00:00
hawkersiddeley.co.zw,,business,,129.232.213.113,Apache,billing@webdev.co.zw,billing@webdev.co.zw,086 7700 4796,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.299424+00:00
library.gzu.ac.zw,,education,,196.43.101.214,Apache,readerservices@gzu.ac.zw,readerservices@gzu.ac.zw,+263 39 264443,https://www.facebook.com/gzulibrary/; https://twitter.com/gzu_library,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.299472+00:00
landshapers.co.zw,,business,,209.42.24.160,LiteSpeed,info@landshapers.co.zw,info@landshapers.co.zw; landshaperszw@gmail.com; example@example.com,+263718212259; +263784768414,,,"/,/about/,/contact",2026-05-04T21:08:46.299514+00:00
islandhospice.co.zw,,business,,129.232.213.115,Apache,admin@islandhospice.co.zw,admin@islandhospice.co.zw; tuma@islandhospice.co.zw; bulawayo@islandhospice.co.zw; mutare@islandhospice.co.zw; marondera@islandhospice.co.zw,0242701674; 0712208659; 0712207634 6,https://www.facebook.com/IslandHospiceService/; https://twitter.com/IslandHospiceZW; https://www.instagram.com/islandhospicezim/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.299597+00:00
kitft.co.zw,,ngo,,148.251.13.105,Apache,admin@kitft.co.zw,admin@kit%66%74.co%2Ez%77; admin@kitft.co.zw,+263 781 595 238,https://www.facebook.com/KITFTZW; https://twitter.com/KITFTZW; https://www.instagram.com/kitft_zw/; https://twitter.com/kitftzw,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.299670+00:00
magikalbmw.co.zw,,business,,68.66.226.107,Apache,,,,,,/,2026-05-04T21:08:46.299744+00:00
leengate.co.zw,,business,,197.189.229.10,Apache,sales@leengate.co.zw,sales@leengate.co.zw,+263 242 750 644; +263 772 650 240 -; +263 783 061 423,https://www.facebook.com/LeengateSales; https://twitter.com/LeengateD,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.299959+00:00
leensfunctionsflair.co.zw,,business,,104.21.11.21,cloudflare,,,+263713990899; +263 779 100 595; +263779100595,https://www.facebook.com/leensfunctionsflair; https://www.instagram.com/leensfunctionsflair/,,"/,/about/,/aboutus/,/contact-us/",2026-05-04T21:08:46.300314+00:00
ksfa.co.zw,,education,,149.102.154.62,nginx,contact@info.com,contact@info.com,,https://www.facebook.com/100092557518021; https://www.instagram.com/ksfa_zw?igsh=MWtoYWJqYjRpZG41cg==,,"/,/about/,/contact",2026-05-04T21:08:46.300340+00:00
hygienicservices.co.zw,,business,,188.114.97.5,cloudflare,,,+263 242 776529; +263 292 473 063; +263 242 7560 97,https://www.linkedin.com/company/hygienicservices/; https://www.facebook.com/HygienicServicesZw/; https://twitter.com/HygienicZw; https://www.instagram.com/hygienicservices/; https://x.com/HygienicZw/; https://www.linkedin.com/company/hygienic-services,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.300652+00:00
lobelsbiscuits.co.zw,,business,,129.232.213.100,Apache,,,+263 2922 69831; +263 242 749611,https://www.facebook.com/LobelsBiscuits,,/,2026-05-04T21:08:46.300702+00:00
ironlife.co.zw,,ecommerce,,188.114.96.5,,,,,https://www.facebook.com/ironlife.zw; https://www.instagram.com/ironlife.co.zw,,"/,/about/,/contact",2026-05-04T21:08:46.301138+00:00
media.rechargeafrica.co.zw,,business,,87.117.234.111,Apache,,,+263 785 024 597,,,"/,/contact",2026-05-04T21:08:46.301635+00:00
library.rcu.ac.zw,,education,,162.241.123.59,nginx/1.25.5,,,,,,,2026-05-04T21:08:46.301678+00:00
iprc.co.zw,,education,,185.146.22.254,LiteSpeed,admin@iprc.co.zw,admin@iprc.co.zw; admin@cipmz.co.zw,+263 772 469 893; +263 77 267 5810; +263 242 443 124,https://www.facebook.com/publicrelationszimbabwe; https://x.com/IPRCZ; https://www.linkedin.com/company/women-in-pr-and-communications-zimbabwe/posts/?feedView=all; https://www.instagram.com/instituteofpublicrelations/,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.301721+00:00
loa.co.zw,,ngo,,104.21.21.67,cloudflare,,,0778 450 053; 0242 884 628; 0242 884 646,https://www.facebook.com/LOAZimbabwe; https://x.com/LifeOffices; https://www.linkedin.com/company/life-offices-association-of-zimbabwe/,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.301741+00:00
hoodridge.co.zw,,business,,129.232.213.115,Apache,info@hoodridge.co.zw,info@hoodridge.co.zw; sales@hoodridge.co.zw,+263 777 368 961 363; +263 777 368 961; +263 712 800 483,https://www.facebook.com/Hoodridge/; https://www.linkedin.com/company/hoodridge-industrial-automation/,,"/,/about/,/contact",2026-05-04T21:08:46.301771+00:00
matrixtaxschool.co.zw,,education,phlox,20.164.200.23,nginx,marketing@taxmatrix.co.zw,marketing@taxmatrix.co.zw; info@taxmatrix.co.zw,+263 78 280 2384; +263 77 349 8977; +263 242 252 816,https://www.facebook.com/matrixtaxschool; https://www.linkedin.com/company/matrix-tax-school/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.301816+00:00
labpartners.co.zw,,business,,129.232.213.115,Apache,info@labpartners.co.zw,info@labpartners.co.zw; info@labpartners.co.zw%20,+263 867 719 8704; +263 716 755 724; +263 78 128 3924,https://www.facebook.com/labpartnerszw; https://twitter.com/labpartnerszw; https://www.linkedin.com/company/labpartnerszw/,,"/,/about/,/contact",2026-05-04T21:08:46.301839+00:00
metpole.co.zw,,business,,148.72.177.82,LiteSpeed,admin@metpole.co.zw,sales@metpole.co.zw; admin@metpole.co.zw,0242-662277,http://www.facebook.com/https://www.facebook.com/Metpole-107339670880820; http://www.twitter.com/https://twitter.com/metpole,,"/,/about/,/about-us/,/contact-us/,/company/about-us/",2026-05-04T21:08:46.301875+00:00
livinghope.co.zw,,religious,,170.249.239.24,LiteSpeed,mitch@livinghope.co.zw,mitch@livinghope.co.zw,+263 77 494 6268,https://www.facebook.com/livinghope.co.zw; https://www.instagram.com/livinghope.co.zw/,,"/,/about/",2026-05-04T21:08:46.301899+00:00
macmutlaw.co.zw,,business,,149.255.62.168,nginx,admin@macmutlaw.co.zw,%61dm%69%6e@macmutlaw.c%6f%2e%7aw; tlmachinga@gmail.com; %61%64%6d%69n@%6d%61cmut%6ca%77.co.z%77; admin@macmutlaw.co.zw; a%64%6di%6e@%6dacmutl%61w.%63o%2e%7aw,+263-773-095-882; +263-712-639-276; 04-663615,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.301924+00:00
kutsaga.co.zw,,business,ecogrow,129.232.213.107,Apache,kutsaga@kutsaga.co.zw,test@fwe.com; kutsaga@kutsaga.co.zw; sales@kutsaga.co.zw; info@example.com,+263 714 980 980,https://www.facebook.com/kutsagaofficial; https://www.instagram.com/Kutsaga; https://www.linkedin.com/company/kutsaga-products-and-services/posts/?feedView=all; https://www.instagram.com/kutsaga/; https://www.facebook.com/kutsagaofficial/; https://www.linkedin.com/company/kutsaga-products-and-services/; https://x.com/KutsagaResearch/,,"/,/about/,/new-site/about-us/,/about-us/,/contact-us/",2026-05-04T21:08:46.301976+00:00
marjen.co.zw,,business,,68.66.224.58,Apache,sales@marjen.co.zw,sales@marjen.co.zw,+263-292-888 954; 0776 096 112 0786 890 522 0772 144 922; ,https://www.facebook.com/Marjenmining,,"/,/about/,/contact",2026-05-04T21:08:46.302013+00:00
hastt.co.zw,,business,,162.241.69.77,Apache,sales@hastt.co.zw,sales@hastt.co.zw; sales@www.hastt.co.zw,+263 242 15 2313-7,,,"/,/about/,/about-hastt/,/contact-us/",2026-05-04T21:08:46.302045+00:00
lcshipping.co.zw,,business,,69.175.99.163,Apache,info@lcshipping.co.zw,info@lcshipping.co.zw,+263 8644310894; +263 779821988; +263 772 784 477,https://www.facebook.com/LCShippingzw/; https://x.com/LCShipping/status/1421821465595371521; https://www.instagram.com/lc_shipping/; https://zw.linkedin.com/company/lcshipping,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.302067+00:00
megapak.co.zw,,business,,65.60.39.46,,,,,,,/,2026-05-04T21:08:46.302101+00:00
ketamineclinic.co.zw,,business,,107.6.176.102,,,,,,,,2026-05-04T21:08:46.302114+00:00
libraries.msu.ac.zw,,education,,161.35.11.70,nginx,,,,,,,2026-05-04T21:08:46.302125+00:00
masiya-sheshe.co.zw,,business,xtra,194.110.243.35,,admin@masiya-sheshe.co.zw,admin@masiya-sheshe.co.zw,+263 242 749574; +263 242 749574-8; +2638644296499,,,"/,/about/,/contact",2026-05-04T21:08:46.302156+00:00
lucent.co.zw,,business,,104.21.87.105,cloudflare,,,+263 7710 30 251; +263 718 717 521 52; +263 771 030 251,https://www.facebook.com/lucentaccountants; https://twitter.com/Lucentzw,,"/,/about/,/contact",2026-05-04T21:08:46.302183+00:00
maz-ville.co.zw,,business,oshin,192.64.80.67,LiteSpeed,info@maz-ville.co.zw,maz_ville@yahoo.com; info@maz-ville.co.zw,+263712766796; +263 712 766796; +263 867 7005399,https://www.instagram.com/maz_ville/; https://www.facebook.com/MazvilleStudios; https://twitter.com/maz_ville,,"/,/contact-us/,/contact",2026-05-04T21:08:46.302237+00:00
mavambotrust.org.zw,,ngo,,129.232.213.100,Apache,admin@mavambotrust.org.zw,admin@mavambotrust.org.zw; dpo@mavambotrust.org.zw; info@harity.com,+263 882 901 873; +263882901873,https://twitter.com/mavambo_trust; https://www.instagram.com/mavamboorphancare/; https://www.facebook.com/MavamboOrphanCare/,,"/,/about/,/about-us-orphan-care/team/,/about-us/,/contact-us/",2026-05-04T21:08:46.302267+00:00
mikesradiators.co.zw,,business,,188.114.97.5,cloudflare,,,,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.302298+00:00
mitchellcotts.co.zw,,business,,50.116.92.26,Apache,patrick@mcfreight.co.zw,patrick@mcfreight.co.zw; info@mcfreight.co.zw,08612 987 654; +263 773 303 648; +263 774 630 021,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.302324+00:00
lithshop.co.zw,,ecommerce,,104.21.18.166,cloudflare,,,0242304894; 0787 719 316; 0774 006 987,https://www.facebook.com/sharer/sharer.php?u=https://lithshop.co.zw/; https://x.com/share?url=https://lithshop.co.zw/; https://www.linkedin.com/shareArticle?mini=true&url=https://lithshop.co.zw/; https://www.facebook.com/sharer/sharer.php?u=https://lithshop.co.zw/about-us-3/; https://x.com/share?url=https://lithshop.co.zw/about-us-3/; https://www.linkedin.com/shareArticle?mini=true&url=https://lithshop.co.zw/about-us-3/; https://www.facebook.com/sharer/sharer.php?u=https://lithshop.co.zw/contact-us/; https://x.com/share?url=https://lithshop.co.zw/contact-us/; https://www.linkedin.com/shareArticle?mini=true&url=https://lithshop.co.zw/contact-us/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.302411+00:00
knowledgebrook.co.zw,,ngo,astra,172.67.204.130,cloudflare,,,+263 77 987 2816; +263719464644; +263 71 9464 644,https://www.facebook.com/KBCN-Knowledge-Brook-Childrens-Network-110975034798089/?ref=page_internal,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.302442+00:00
kevdigital.co.zw,,business,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.302466+00:00
megamedia.co.zw,,business,,192.250.239.56,LiteSpeed,info@megamedia.co.zw,info@megamedia.co.zw; %20site@info.com,0779772080; 077 977 2080,https://www.facebook.com/megaprintmedia/; https://www.instagram.com/megaprintmedia/?hl=en,,"/,/about/,/contact",2026-05-04T21:08:46.302489+00:00
mimarshmedia.co.zw,,business,,67.222.24.24,LiteSpeed,sales@mimarshmedia.co.zw,support@aggen.com; sales@mimarshmedia.co.zw; simba@mimarshmedia.co.zw,+263 242-752 285; +263 77 442 7666; +263 77 442 9666,https://www.facebook.com/mimarshmediazw/; https://twitter.com/mimarsh,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.302549+00:00
kyleprep.ac.zw,,education,,129.232.213.115,Apache,admin@kyleprep.ac.zw,admin@kyleprep.ac.zw; info@example.com; head@kyleprep.ac.zw,+263788730410,https://www.facebook.com/kyleprep; https://www.instagram.com/kyleprepschool/; http://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.kyleprep.ac.zw&t=Kyle%20Preparatory%20School; http://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.kyleprep.ac.zw%2Fabout-us%2F&t=About%20Us; http://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.kyleprep.ac.zw%2Fcontact%2F&t=Contact,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.302581+00:00
mic.co.zw,,business,,102.220.134.85,Apache,info@mic.co.zw,info@mic.co.zw,+263 717 624 662,https://web.facebook.com/MICRadiologyGroup?_rdc=1&_rdr; https://www.instagram.com/micradiology/?hl=en; https://www.linkedin.com/company/mic-radiology-group?originalSubdomain=zw,,"/,/about/,/contact",2026-05-04T21:08:46.302626+00:00
masseyferguson.co.zw,,ecommerce,backhoe,188.114.96.5,cloudflare,,,,https://www.facebook.com/MasseyTractorsCo; https://twitter.com/massey_company; https://www.instagram.com/masseyfergusoncompany; https://www.linkedin.com/company/masseyfergusoncompany,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.302644+00:00
mez.co.zw,,business,,57.129.144.46,LiteSpeed,info@mez.co.zw,info@mez.co.zw,0773 413 187,https://www.facebook.com/MassiveEntertainmentZimbabwe/; https://www.instagram.com/massive_ent_zim,,"/,/contact",2026-05-04T21:08:46.302673+00:00
mazowerdc.co.zw,,government,,172.67.162.120,cloudflare,,,0773662721; 0773 662637; 0773 176016,https://www.facebook.com/profile.php?id=100086686441280; https://x.com/MazoweRdc?t=jft1cF1hAmajfC1BweKAFg&s=09,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.302691+00:00
mtb.co.zw,,education,,192.138.189.196,LiteSpeed,,,,,,,2026-05-04T21:08:46.302714+00:00
jaddem.co.zw,,other,,172.96.161.16,Apache,info@jaddem.co.zw,info@jaddem.co.zw,077 382 2773; 0800 - 1700; 0242154537,https://www.facebook.com/jaddempvtltd; https://x.com/jaddempvtltd?mx=2; https://www.instagram.com/jaddempvtltd/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.302741+00:00
mealiebrand.co.zw,,ecommerce,Divi,149.255.62.153,nginx,,,,,,/,2026-05-04T21:08:46.302756+00:00
medicalert.co.zw,,business,,198.54.115.181,Apache,,,,,,,2026-05-04T21:08:46.302777+00:00
